央视频,#genre#
CCTV1,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv1
CCTV2,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv2
CCTV3,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv3
CCTV4,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv4
CCTV5,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv5
CCTV5+,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv5p
CCTV6,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv6
CCTV7,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv7
CCTV8,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv8
CCTV9,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv9
CCTV10,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv10
CCTV11,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv11
CCTV12,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv12
CCTV13,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv13
CCTV14,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv14
CCTV15,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv15
CCTV16,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv16
CCTV17,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv17
CCTV4k-1080P,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv4k
cctv8k-1080P,http://www.liuyunw.com:88/zb/ysapi.php?id=cctv8k
CCTV兵器科技,http://www.liuyunw.com:88/zb/ysapi.php?id=bqkj
CCTV第一剧场,http://www.liuyunw.com:88/zb/ysapi.php?id=dyjc
CCTV怀旧剧场,http://www.liuyunw.com:88/zb/ysapi.php?id=hjjc
CCTV风云剧场,http://www.liuyunw.com:88/zb/ysapi.php?id=fyjc
CCTV风云音乐,http://www.liuyunw.com:88/zb/ysapi.php?id=fyyy
CCTV风云足球,http://www.liuyunw.com:88/zb/ysapi.php?id=fyzq
CCTV电视指南,http://www.liuyunw.com:88/zb/ysapi.php?id=dszn
CCTV女性时尚,http://www.liuyunw.com:88/zb/ysapi.php?id=nxss
CCTV央视文化精品,http://www.liuyunw.com:88/zb/ysapi.php?id=whjp
CCTV世界地理,http://www.liuyunw.com:88/zb/ysapi.php?id=sjdl
CCTV高尔夫网球,http://www.liuyunw.com:88/zb/ysapi.php?id=gefwq
